Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,21,TOT,NL,52,163,148,16,33,5,0,2,14,2,2,4,34,.223,.273,.297,.571,66,44,4,7,2,2,0,64/H9D,abramcj01
2,CJ Abrams*,21,SDP,NL,46,139,125,16,29,5,0,2,11,1,2,4,27,.232,.285,.320,.605,76,40,4,6,2,2,0,64/H9D,abramcj01
3,CJ Abrams*,21,WSN,NL,6,24,23,0,4,0,0,0,3,1,0,0,7,.174,.208,.174,.382,13,4,0,1,0,0,0,/6,abramcj01
4,Albert Abreu,26,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,abreual01
5,Albert Abreu,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,abreual01
6,José Abreu,35,CHW,AL,119,514,454,66,140,29,0,14,58,0,0,51,83,.308,.383,.465,.848,140,211,13,6,0,3,2,*3D,abreujo02
7,Ronald Acuna Jr.,24,ATL,NL,86,387,332,54,90,16,0,10,32,25,9,43,89,.271,.367,.410,.777,115,136,4,9,0,3,2,9D/H8,acunaro01
8,Willy Adames,26,MIL,NL,97,428,388,59,86,17,0,24,69,4,2,36,114,.222,.287,.451,.738,105,175,8,1,0,3,0,*6/DH,adamewi01
9,Riley Adams,26,WSN,NL,27,88,78,8,15,1,0,3,5,0,1,9,26,.192,.284,.321,.605,76,25,1,1,0,0,0,2/H3D,adamsri03
10,Jo Adell,23,LAA,AL,54,181,169,13,38,9,0,4,16,3,2,9,65,.225,.271,.349,.620,75,59,4,2,0,1,0,79/H,adelljo01
11,Ehire Adrianza#,32,TOT,NL,34,100,89,7,16,3,0,0,7,1,0,9,24,.180,.260,.213,.473,40,19,2,1,0,1,0,5/74H6D1,adriaeh01
12,Ehire Adrianza#,32,WSN,NL,31,94,84,5,15,2,0,0,7,1,0,8,22,.179,.255,.202,.458,36,17,2,1,0,1,0,5/7H46D1,adriaeh01
13,Ehire Adrianza#,32,ATL,NL,3,6,5,2,1,1,0,0,0,0,0,1,2,.200,.333,.400,.733,102,2,0,0,0,0,0,/4,adriaeh01
14,Jesus Aguilar,32,MIA,NL,110,444,404,36,95,18,0,15,48,1,0,27,103,.235,.285,.391,.676,89,158,8,3,0,5,1,3D/H5,aguilje01
15,Nick Ahmed,32,ARI,NL,17,54,52,7,12,2,0,3,7,0,1,2,15,.231,.259,.442,.702,94,23,2,0,0,0,0,6/HD,ahmedni01
16,Hanser Alberto,29,LAD,NL,57,123,122,12,30,7,1,2,14,0,1,1,21,.246,.252,.369,.621,69,45,3,0,0,0,0,4H5/D1396,alberha01
